0x1F468 0x200D 0x1F4BC	:man office worker:
0x1F469 0x200D 0x1F4BC	:woman office worker:
0x1F468 0x200D 0x1F52C	:man scientist:
0x1F469 0x200D 0x1F52C	:woman scientist:
0x1F468 0x200D 0x1F4BB	:man technologist:
0x1F469 0x200D 0x1F4BB	:woman technologist:
0x1F468 0x200D 0x1F3A4	:man singer:
0x1F469 0x200D 0x1F3A4	:woman singer:
0x1F468 0x200D 0x1F3A8	:man artist:
0x1F469 0x200D 0x1F3A8	:woman artist:
0x1F468 0x200D 0x2708 0xFE0F	:man pilot:
0x1F469 0x200D 0x2708 0xFE0F	:woman pilot:
0x1F468 0x200D 0x1F680	:man astronaut:
0x1F469 0x200D 0x1F680	:woman astronaut:
0x1F468 0x200D 0x1F692	:man firefighter:
0x1F469 0x200D 0x1F692	:woman firefighter:
0x1F46E	:police officer:
0x1F46E 0x200D 0x2642 0xFE0F	:man police officer:
0x1F46E 0x200D 0x2640 0xFE0F	:woman police officer:
0x1F575	:detective:
0x1F575 0xFE0F 0x200D 0x2642 0xFE0F	:man detective:
0x1F575 0xFE0F 0x200D 0x2640 0xFE0F	:woman detective:
0x1F482	:guard:
0x1F482 0x200D 0x2642 0xFE0F	:man guard:
0x1F482 0x200D 0x2640 0xFE0F	:woman guard:
0x1F477	:construction worker:
0x1F477 0x200D 0x2642 0xFE0F	:man construction worker:
0x1F477 0x200D 0x2640 0xFE0F	:woman construction worker:
0x1F934	:prince:
0x1F478	:princess:
0x1F473	:person wearing turban:
0x1F473 0x200D 0x2642 0xFE0F	:man wearing turban:
0x1F473 0x200D 0x2640 0xFE0F	:woman wearing turban:
0x1F472	:man with Chinese cap:
0x1F9D5	:woman with headscarf:
0x1F935	:man in tuxedo:
0x1F470	:bride with veil:
0x1F930	:pregnant woman:
0x1F931	:breast-feeding:
0x1F47C	:baby angel:
0x1F385	:Santa Claus:
0x1F936	:Mrs. Claus:
0x1F9B8	:superhero:
0x1F9B8 0x200D 0x2642 0xFE0F	:man superhero:
0x1F9B8 0x200D 0x2640 0xFE0F	:woman superhero:
0x1F9B9	:supervillain:
0x1F9B9 0x200D 0x2642 0xFE0F	:man supervillain:
0x1F9B9 0x200D 0x2640 0xFE0F	:woman supervillain:
0x1F9D9	:mage:
0x1F9D9 0x200D 0x2642 0xFE0F	:man mage:
0x1F9D9 0x200D 0x2640 0xFE0F	:woman mage:
0x1F9DA	:fairy:
0x1F9DA 0x200D 0x2642 0xFE0F	:man fairy:
0x1F9DA 0x200D 0x2640 0xFE0F	:woman fairy:
0x1F9DB	:vampire:
0x1F9DB 0x200D 0x2642 0xFE0F	:man vampire:
0x1F9DB 0x200D 0x2640 0xFE0F	:woman vampire:
0x1F9DC	:merperson:
0x1F9DC 0x200D 0x2642 0xFE0F	:merman:
0x1F9DC 0x200D 0x2640 0xFE0F	:mermaid:
0x1F9DD	:elf:
0x1F9DD 0x200D 0x2642 0xFE0F	:man elf:
0x1F9DD 0x200D 0x2640 0xFE0F	:woman elf:
0x1F9DE	:genie:
0x1F9DE 0x200D 0x2642 0xFE0F	:man genie:
0x1F9DE 0x200D 0x2640 0xFE0F	:woman genie:
0x1F9DF	:zombie:
0x1F9DF 0x200D 0x2642 0xFE0F	:man zombie:
0x1F9DF 0x200D 0x2640 0xFE0F	:woman zombie:
0x1F486	:person getting massage:
0x1F486 0x200D 0x2642 0xFE0F	:man getting massage:
0x1F486 0x200D 0x2640 0xFE0F	:woman getting massage:
0x1F487	:person getting haircut:
0x1F487 0x200D 0x2642 0xFE0F	:man getting haircut:
0x1F487 0x200D 0x2640 0xFE0F	:woman getting haircut:
0x1F6B6	:person walking:
0x1F6B6 0x200D 0x2642 0xFE0F	:man walking:
0x1F6B6 0x200D 0x2640 0xFE0F	:woman walking:
0x1F9CD	:⊛ person standing:
0x1F9CD 0x200D 0x2642 0xFE0F	:⊛ man standing:
0x1F9CD 0x200D 0x2640 0xFE0F	:⊛ woman standing:
0x1F9CE	:⊛ person kneeling:
0x1F9CE 0x200D 0x2642 0xFE0F	:⊛ man kneeling:
0x1F9CE 0x200D 0x2640 0xFE0F	:⊛ woman kneeling:
0x1F468 0x200D 0x1F9AF	:⊛ man with probing cane:
0x1F469 0x200D 0x1F9AF	:⊛ woman with probing cane:
0x1F468 0x200D 0x1F9BC	:⊛ man in motorized wheelchair:
0x1F469 0x200D 0x1F9BC	:⊛ woman in motorized wheelchair:
0x1F468 0x200D 0x1F9BD	:⊛ man in manual wheelchair:
0x1F469 0x200D 0x1F9BD	:⊛ woman in manual wheelchair:
0x1F3C3	:person running:
0x1F3C3 0x200D 0x2642 0xFE0F	:man running:
0x1F3C3 0x200D 0x2640 0xFE0F	:woman running:
0x1F483	:woman dancing:
0x1F57A	:man dancing:
0x1F574	:man in suit levitating:
0x1F46F	:people with bunny ears:
0x1F46F 0x200D 0x2642 0xFE0F	:men with bunny ears:
0x1F46F 0x200D 0x2640 0xFE0F	:women with bunny ears:
0x1F9D6	:person in steamy room:
0x1F9D6 0x200D 0x2642 0xFE0F	:man in steamy room:
0x1F9D6 0x200D 0x2640 0xFE0F	:woman in steamy room:
0x1F9D7	:person climbing:
0x1F9D7 0x200D 0x2642 0xFE0F	:man climbing:
0x1F9D7 0x200D 0x2640 0xFE0F	:woman climbing:
0x1F93A	:person fencing:
0x1F3C7	:horse racing:
0x26F7	:skier:
0x1F3C2	:snowboarder:
0x1F3CC	:person golfing:
0x1F3CC 0xFE0F 0x200D 0x2642 0xFE0F	:man golfing:
0x1F3CC 0xFE0F 0x200D 0x2640 0xFE0F	:woman golfing:
0x1F3C4	:person surfing:
0x1F3C4 0x200D 0x2642 0xFE0F	:man surfing:
0x1F3C4 0x200D 0x2640 0xFE0F	:woman surfing:
0x1F6A3	:person rowing boat:
0x1F6A3 0x200D 0x2642 0xFE0F	:man rowing boat:
0x1F6A3 0x200D 0x2640 0xFE0F	:woman rowing boat:
0x1F3CA	:person swimming:
0x1F3CA 0x200D 0x2642 0xFE0F	:man swimming:
0x1F3CA 0x200D 0x2640 0xFE0F	:woman swimming:
0x26F9	:person bouncing ball:
0x26F9 0xFE0F 0x200D 0x2642 0xFE0F	:man bouncing ball:
0x26F9 0xFE0F 0x200D 0x2640 0xFE0F	:woman bouncing ball:
0x1F3CB	:person lifting weights:
0x1F3CB 0xFE0F 0x200D 0x2642 0xFE0F	:man lifting weights:
0x1F3CB 0xFE0F 0x200D 0x2640 0xFE0F	:woman lifting weights:
0x1F6B4	:person biking:
0x1F6B4 0x200D 0x2642 0xFE0F	:man biking:
